"matchid","first_team","first_team_goals","firstplayername","firstplayersurname","second_team","second_team_goals","secondplayername","secondplayersurname","date","stadium","outgoingplayername","outgoingplayersurname","incomingplayername","incomingplayersurname"
8,"Manchester United",2,"Nicky","Butt","Bayern",1,"Lothar","Matthaus","1999-05-26","Camp Nou","Alexander","Zickler","Mehmet","Scholl"
4,"Brazil",1,"","Tostao","England",0,"Francis","Henry Lee","1970-06-07","Jalisco Stadium","Francis","Henry Lee","Colin","Bell"
3,"France",2,"Fabien","Barthez","Portugal",1,"Jorge","Costa","2000-06-28","King Baudouin Stadium","","Dimas","Rui","Jorge"
8,"Manchester United",2,"David","Beckham","Bayern",1,"Carsten","Jancker","1999-05-26","Camp Nou","Andy","Cole","Ole","Gunnar Solskjaer"
6,"Milan",3,"","Dida","Liverpool",3,"Steve","Finnan","2005-05-25","Ataturk Olimpiyat Stadyumu","Hernan","Crespo","Jon","Dahl Tomasson"
2,"Liverpool",5,"Gary","McAllister","Alaves",4,"Martin","Herrera","2001-05-16","BVB Stadion Dortmund","Javi","Moreno","Juan","Pablo"
2,"Liverpool",5,"Emile","Heskey","Alaves",4,"Martin","Herrera","2001-05-16","BVB Stadion Dortmund","Michael","Owen","Patrik","Berger"
4,"Brazil",1,"","Rivellino","England",0,"Alan","Mullery","1970-06-07","Jalisco Stadium","Francis","Henry Lee","Colin","Bell"
3,"France",2,"Emmanuel","Petit","Portugal",1,"Vitor","Baia","2000-06-28","King Baudouin Stadium","","Dimas","Rui","Jorge"
10,"Italy",4,"Gigi","Riva","West Germany",3,"Uwe","Seeler","1970-06-17","Estadio Azteca","Bernd","Patzke","Sigfried","Held"
2,"Liverpool",5,"Stephane","Henchoz","Alaves",4,"Jordi","Cruyff","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
1,"Chelsea",4,"Didier","Drogba","Liverpool",4,"Dirk","Kuyt","2009-04-14","Stamford Bridge","Javier","Mascherano","Albert","Riera"
7,"Argentina",2,"Sergio","Batista","England",1,"Peter","Reid","1986-06-22","Estadio Azteca","Trevor","Steven","John","Barnes"
3,"France",2,"Patrick","Vieira","Portugal",1,"Luis","Figo","2000-06-28","King Baudouin Stadium","Nicolas","Anelka","Sylvain","Wiltord"
9,"Italy",3,"Roberto","Di Matteo","Brazil",3,"Roberto","Carlos","1997-06-08","Stade de Gerland","Dino","Baggio","Diego","Fuser"
3,"France",2,"Didier","Deschamps","Portugal",1,"Fernando","Couto","2000-06-28","King Baudouin Stadium","","Dimas","Rui","Jorge"
3,"France",2,"Emmanuel","Petit","Portugal",1,"","Costinha","2000-06-28","King Baudouin Stadium","Nicolas","Anelka","Sylvain","Wiltord"
1,"Chelsea",4,"Ricardo","Carvalho","Liverpool",4,"Xabi","Alonso","2009-04-14","Stamford Bridge","Javier","Mascherano","Albert","Riera"
10,"Italy",4,"Angelo","Domenghini","West Germany",3,"Karl-Heinz","Schnellinger","1970-06-17","Estadio Azteca","Bernd","Patzke","Sigfried","Held"
3,"France",2,"Didier","Deschamps","Portugal",1,"Vitor","Baia","2000-06-28","King Baudouin Stadium","Rui","Costa","Joao","Pinto"
3,"France",2,"Patrick","Vieira","Portugal",1,"Vitor","Baia","2000-06-28","King Baudouin Stadium","Jose","Luis Vidigal","Paulo","Bento"
10,"Italy",4,"Roberto","Boninsegna","West Germany",3,"Willi","Schulz","1970-06-17","Estadio Azteca","Bernd","Patzke","Sigfried","Held"
9,"Italy",3,"Roberto","Di Matteo","Brazil",3,"Roberto","Carlos","1997-06-08","Stade de Gerland","Paolo","Maldini","Angelo","Di Livio"
1,"Chelsea",4,"Florent","Malouda","Liverpool",4,"Fabio","Aurelio","2009-04-14","Stamford Bridge","Alvaro","Arbeola","Ryan","Babel"
10,"Italy",4,"Tarcisio","Burgnich","West Germany",3,"Uwe","Seeler","1970-06-17","Estadio Azteca","Roberto","Rosato","Fabrizio","Poletti"
2,"Liverpool",5,"Michael","Owen","Alaves",4,"Javi","Moreno","2001-05-16","BVB Stadion Dortmund","Michael","Owen","Patrik","Berger"
9,"Italy",3,"Christian","Panucci","Brazil",3,"Mauro","Silva","1997-06-08","Stade de Gerland","Dino","Baggio","Diego","Fuser"
8,"Manchester United",2,"Ryan","Giggs","Bayern",1,"Markus","Babbel","1999-05-26","Camp Nou","Andy","Cole","Ole","Gunnar Solskjaer"
6,"Milan",3,"Paolo","Maldini","Liverpool",3,"Sami","Hyypia","2005-05-25","Ataturk Olimpiyat Stadyumu","Hernan","Crespo","Jon","Dahl Tomasson"
6,"Milan",3,"","Cafu","Liverpool",3,"Steven","Gerrard","2005-05-25","Ataturk Olimpiyat Stadyumu","Hernan","Crespo","Jon","Dahl Tomasson"
6,"Milan",3,"","Kaka","Liverpool",3,"Jerzy","Dudek","2005-05-25","Ataturk Olimpiyat Stadyumu","Harry","Kewell","Vladimir","Smicer"
2,"Liverpool",5,"Steven","Gerrard","Alaves",4,"Oscar","Tellez","2001-05-16","BVB Stadion Dortmund","Javi","Moreno","Juan","Pablo"
4,"Brazil",1,"","Felix","England",0,"Bobby","Charlton","1970-06-07","Jalisco Stadium","","Tostao","Roberto","Lopes de Miranda"
10,"Italy",4,"Enrico","Albertosi","West Germany",3,"Bernd","Patzke","1970-06-17","Estadio Azteca","Sandro","Mazzola","Gianni","Rivera"
6,"Milan",3,"Andrea","Pirlo","Liverpool",3,"Sami","Hyypia","2005-05-25","Ataturk Olimpiyat Stadyumu","Steve","Finnan","Dietmar","Hamann"
6,"Milan",3,"Alessandro","Nesta","Liverpool",3,"Djimi","Traore","2005-05-25","Ataturk Olimpiyat Stadyumu","Milan","Baros","Djibril","Cisse"
2,"Liverpool",5,"Sander","Westerveld","Alaves",4,"Hermes","Desio","2001-05-16","BVB Stadion Dortmund","Michael","Owen","Patrik","Berger"
10,"Italy",4,"Enrico","Albertosi","West Germany",3,"Berti","Vegts","1970-06-17","Estadio Azteca","Hannes","Lohr","Reinhard","Libuda"
7,"Argentina",2,"Ricardo","Giusti","England",1,"Gary","M. Stevens","1986-06-22","Estadio Azteca","Peter","Reid","Chris","Waddle"
8,"Manchester United",2,"Nicky","Butt","Bayern",1,"Thomas","Linke","1999-05-26","Camp Nou","Jesper","Blomqvist","Teddy","Sheringham"
6,"Milan",3,"Hernan","Crespo","Liverpool",3,"John","Arne Riise","2005-05-25","Ataturk Olimpiyat Stadyumu","Harry","Kewell","Vladimir","Smicer"
6,"Milan",3,"","Kaka","Liverpool",3,"Luis","Garcia","2005-05-25","Ataturk Olimpiyat Stadyumu","Steve","Finnan","Dietmar","Hamann"
2,"Liverpool",5,"Emile","Heskey","Alaves",4,"Hermes","Desio","2001-05-16","BVB Stadion Dortmund","Martin","Astudillo","Mocellin","Magno"
2,"Liverpool",5,"Danny","Murphy","Alaves",4,"Hermes","Desio","2001-05-16","BVB Stadion Dortmund","Dan","Eggen","Ivan","Alonso"
8,"Manchester United",2,"David","Beckham","Bayern",1,"Michael","Tarnat","1999-05-26","Camp Nou","Andy","Cole","Ole","Gunnar Solskjaer"
10,"Italy",4,"Roberto","Boninsegna","West Germany",3,"Sepp","Maier","1970-06-17","Estadio Azteca","Hannes","Lohr","Reinhard","Libuda"
6,"Milan",3,"","Dida","Liverpool",3,"Djimi","Traore","2005-05-25","Ataturk Olimpiyat Stadyumu","Hernan","Crespo","Jon","Dahl Tomasson"
1,"Chelsea",4,"Petr","Cech","Liverpool",4,"Martin","Skrtel","2009-04-14","Stamford Bridge","Fernando","Torres","David","Ngog"
4,"Brazil",1,"","Jairzinho","England",0,"Terence","Cooper","1970-06-07","Jalisco Stadium","Francis","Henry Lee","Colin","Bell"
8,"Manchester United",2,"Ronny","Johnsen","Bayern",1,"Lothar","Matthaus","1999-05-26","Camp Nou","Mario","Basler","Hasan","Salihamidzic"
1,"Chelsea",4,"Ricardo","Carvalho","Liverpool",4,"Javier","Mascherano","2009-04-14","Stamford Bridge","Javier","Mascherano","Albert","Riera"
2,"Liverpool",5,"Stephane","Henchoz","Alaves",4,"Cosmin","Contra","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
8,"Manchester United",2,"Jesper","Blomqvist","Bayern",1,"Mario","Basler","1999-05-26","Camp Nou","Andy","Cole","Ole","Gunnar Solskjaer"
6,"Milan",3,"Clarence","Seedorf","Liverpool",3,"Luis","Garcia","2005-05-25","Ataturk Olimpiyat Stadyumu","Steve","Finnan","Dietmar","Hamann"
8,"Manchester United",2,"Ronny","Johnsen","Bayern",1,"Carsten","Jancker","1999-05-26","Camp Nou","Jesper","Blomqvist","Teddy","Sheringham"
6,"Milan",3,"Alessandro","Nesta","Liverpool",3,"Jamie","Carragher","2005-05-25","Ataturk Olimpiyat Stadyumu","Hernan","Crespo","Jon","Dahl Tomasson"
3,"France",2,"Zinedine","Zidane","Portugal",1,"Luis","Figo","2000-06-28","King Baudouin Stadium","","Dimas","Rui","Jorge"
2,"Liverpool",5,"Sami","Hyypia","Alaves",4,"Cosmin","Contra","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
1,"Chelsea",4,"Ricardo","Carvalho","Liverpool",4,"Xabi","Alonso","2009-04-14","Stamford Bridge","Didier","Drogba","Franco","Di Santo"
10,"Italy",4,"Tarcisio","Burgnich","West Germany",3,"Uwe","Seeler","1970-06-17","Estadio Azteca","Bernd","Patzke","Sigfried","Held"
4,"Brazil",1,"","Felix","England",0,"Tommy","Wright","1970-06-07","Jalisco Stadium","Francis","Henry Lee","Colin","Bell"
3,"France",2,"Zinedine","Zidane","Portugal",1,"Jorge","Costa","2000-06-28","King Baudouin Stadium","Nicolas","Anelka","Sylvain","Wiltord"
4,"Brazil",1,"","Rivellino","England",0,"Bobby","Charlton","1970-06-07","Jalisco Stadium","Bobby","Charlton","Jeff","Astle"
2,"Liverpool",5,"Danny","Murphy","Alaves",4,"Ivan","Tomic","2001-05-16","BVB Stadion Dortmund","Javi","Moreno","Juan","Pablo"
9,"Italy",3,"Roberto","Di Matteo","Brazil",3,"","Denilson","1997-06-08","Stade de Gerland","Paolo","Maldini","Angelo","Di Livio"
6,"Milan",3,"Alessandro","Nesta","Liverpool",3,"John","Arne Riise","2005-05-25","Ataturk Olimpiyat Stadyumu","Clarence","Seedorf","","Serginho"
2,"Liverpool",5,"Jamie","Carragher","Alaves",4,"Javi","Moreno","2001-05-16","BVB Stadion Dortmund","Martin","Astudillo","Mocellin","Magno"
1,"Chelsea",4,"Branislav","Ivanovic","Liverpool",4,"Alvaro","Arbeola","2009-04-14","Stamford Bridge","Alvaro","Arbeola","Ryan","Babel"
6,"Milan",3,"Andrea","Pirlo","Liverpool",3,"John","Arne Riise","2005-05-25","Ataturk Olimpiyat Stadyumu","Hernan","Crespo","Jon","Dahl Tomasson"
2,"Liverpool",5,"Markus","Babbel","Alaves",4,"Martin","Herrera","2001-05-16","BVB Stadion Dortmund","Stephane","Henchoz","Vladimir","Smicer"
9,"Italy",3,"Roberto","Di Matteo","Brazil",3,"","Romario","1997-06-08","Stade de Gerland","Mauro","Silva","Flavio","Conceicao"
8,"Manchester United",2,"Gary","Neville","Bayern",1,"Thomas","Linke","1999-05-26","Camp Nou","Mario","Basler","Hasan","Salihamidzic"
4,"Brazil",1,"","Rivellino","England",0,"Bobby","Charlton","1970-06-07","Jalisco Stadium","Francis","Henry Lee","Colin","Bell"
3,"France",2,"Thierry","Henry","Portugal",1,"","Costinha","2000-06-28","King Baudouin Stadium","Thierry","Henry","David","Trezeguet"
1,"Chelsea",4,"Petr","Cech","Liverpool",4,"Jamie","Carragher","2009-04-14","Stamford Bridge","Fernando","Torres","David","Ngog"
8,"Manchester United",2,"Denis","Irwin","Bayern",1,"Oliver","Kahn","1999-05-26","Camp Nou","Alexander","Zickler","Mehmet","Scholl"
8,"Manchester United",2,"Jaap","Stam","Bayern",1,"Stefan","Effenberg","1999-05-26","Camp Nou","Jesper","Blomqvist","Teddy","Sheringham"
7,"Argentina",2,"Jorge","Valdano","England",1,"Glenn","Hoddle","1986-06-22","Estadio Azteca","Peter","Reid","Chris","Waddle"
9,"Italy",3,"Gianluca","Pagliuca","Brazil",3,"Claudio","Taffarel","1997-06-08","Stade de Gerland","Christian","Vieri","Filippo","Inzaghi"
4,"Brazil",1,"","Felix","England",0,"Brian","Labone","1970-06-07","Jalisco Stadium","Bobby","Charlton","Jeff","Astle"
4,"Brazil",1,"","Rivellino","England",0,"Francis","Henry Lee","1970-06-07","Jalisco Stadium","","Tostao","Roberto","Lopes de Miranda"
7,"Argentina",2,"Julio","Olartcoechea","England",1,"Peter","Reid","1986-06-22","Estadio Azteca","Trevor","Steven","John","Barnes"
8,"Manchester United",2,"Jaap","Stam","Bayern",1,"Michael","Tarnat","1999-05-26","Camp Nou","Andy","Cole","Ole","Gunnar Solskjaer"
6,"Milan",3,"Andrea","Pirlo","Liverpool",3,"Djimi","Traore","2005-05-25","Ataturk Olimpiyat Stadyumu","Clarence","Seedorf","","Serginho"
10,"Italy",4,"Giacinto","Facchetti","West Germany",3,"Willi","Schulz","1970-06-17","Estadio Azteca","Hannes","Lohr","Reinhard","Libuda"
6,"Milan",3,"Gennaro","Gattuso","Liverpool",3,"Harry","Kewell","2005-05-25","Ataturk Olimpiyat Stadyumu","Hernan","Crespo","Jon","Dahl Tomasson"
9,"Italy",3,"Alessandro","Del Piero","Brazil",3,"","Romario","1997-06-08","Stade de Gerland","Mauro","Silva","Flavio","Conceicao"
7,"Argentina",2,"Jose","Luis Brown","England",1,"Gary","Lineker","1986-06-22","Estadio Azteca","Jorge","Burruchaga","Carlos","Daniel Tapia"
10,"Italy",4,"Giacinto","Facchetti","West Germany",3,"Berti","Vegts","1970-06-17","Estadio Azteca","Hannes","Lohr","Reinhard","Libuda"
9,"Italy",3,"Fabio","Cannavaro","Brazil",3,"","Cafu","1997-06-08","Stade de Gerland","Dino","Baggio","Diego","Fuser"
8,"Manchester United",2,"Dwight","Yorke","Bayern",1,"Jens","Jeremies","1999-05-26","Camp Nou","Andy","Cole","Ole","Gunnar Solskjaer"
4,"Brazil",1,"","Jairzinho","England",0,"Tommy","Wright","1970-06-07","Jalisco Stadium","Bobby","Charlton","Jeff","Astle"
3,"France",2,"Bixente","Lizarazu","Portugal",1,"Jorge","Costa","2000-06-28","King Baudouin Stadium","Nicolas","Anelka","Sylvain","Wiltord"
8,"Manchester United",2,"David","Beckham","Bayern",1,"Lothar","Matthaus","1999-05-26","Camp Nou","Jesper","Blomqvist","Teddy","Sheringham"
9,"Italy",3,"Dino","Baggio","Brazil",3,"","Denilson","1997-06-08","Stade de Gerland","Paolo","Maldini","Angelo","Di Livio"
2,"Liverpool",5,"Didi","Hamann","Alaves",4,"Martin","Astudillo","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
3,"France",2,"Emmanuel","Petit","Portugal",1,"Nuno","Gomes","2000-06-28","King Baudouin Stadium","Jose","Luis Vidigal","Paulo","Bento"
1,"Chelsea",4,"Salomon","Kalou","Liverpool",4,"Javier","Mascherano","2009-04-14","Stamford Bridge","Alvaro","Arbeola","Ryan","Babel"
9,"Italy",3,"Alessandro","Del Piero","Brazil",3,"Roberto","Carlos","1997-06-08","Stade de Gerland","Mauro","Silva","Flavio","Conceicao"
8,"Manchester United",2,"Denis","Irwin","Bayern",1,"Michael","Tarnat","1999-05-26","Camp Nou","Alexander","Zickler","Mehmet","Scholl"
2,"Liverpool",5,"Danny","Murphy","Alaves",4,"Javi","Moreno","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
4,"Brazil",1,"Carlos","Alberto Torres","England",0,"Bobby","Moore","1970-06-07","Jalisco Stadium","Bobby","Charlton","Jeff","Astle"
3,"France",2,"Marcel","Desailly","Portugal",1,"Jose","Luis Vidigal","2000-06-28","King Baudouin Stadium","Emmanuel","Petit","Robert","Pires"
9,"Italy",3,"Alessandro","Del Piero","Brazil",3,"","Leonardo","1997-06-08","Stade de Gerland","Dino","Baggio","Diego","Fuser"
7,"Argentina",2,"Oscar","Ruggeri","England",1,"Trevor","Steven","1986-06-22","Estadio Azteca","Jorge","Burruchaga","Carlos","Daniel Tapia"
8,"Manchester United",2,"Denis","Irwin","Bayern",1,"Jens","Jeremies","1999-05-26","Camp Nou","Alexander","Zickler","Mehmet","Scholl"
4,"Brazil",1,"","Clodoaldo","England",0,"Geoff","Hurst","1970-06-07","Jalisco Stadium","Francis","Henry Lee","Colin","Bell"
3,"France",2,"Zinedine","Zidane","Portugal",1,"Sergio","Conceicao","2000-06-28","King Baudouin Stadium","Rui","Costa","Joao","Pinto"
2,"Liverpool",5,"Markus","Babbel","Alaves",4,"Martin","Herrera","2001-05-16","BVB Stadion Dortmund","Michael","Owen","Patrik","Berger"
4,"Brazil",1,"Wilson","Piazza","England",0,"Brian","Labone","1970-06-07","Jalisco Stadium","","Tostao","Roberto","Lopes de Miranda"
2,"Liverpool",5,"Jamie","Carragher","Alaves",4,"Martin","Astudillo","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
5,"West Germany",3,"Max","Morlock","Hungary",2,"Gyula","Grosics","1954-07-04","Wankdorf Stadium",NULL,NULL,NULL,NULL
9,"Italy",3,"Alessandro","Costacurta","Brazil",3,"","Aldair","1997-06-08","Stade de Gerland","Christian","Vieri","Filippo","Inzaghi"
2,"Liverpool",5,"Jamie","Carragher","Alaves",4,"Martin","Herrera","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
1,"Chelsea",4,"Salomon","Kalou","Liverpool",4,"Fabio","Aurelio","2009-04-14","Stamford Bridge","Salomon","Kalou","Nicolas","Anelka"
1,"Chelsea",4,"Michael","Essien","Liverpool",4,"Pepe","Reina","2009-04-14","Stamford Bridge","Salomon","Kalou","Nicolas","Anelka"
1,"Chelsea",4,"Michael","Ballack","Liverpool",4,"Pepe","Reina","2009-04-14","Stamford Bridge","Didier","Drogba","Franco","Di Santo"
6,"Milan",3,"Andrea","Pirlo","Liverpool",3,"Jamie","Carragher","2005-05-25","Ataturk Olimpiyat Stadyumu","Harry","Kewell","Vladimir","Smicer"
2,"Liverpool",5,"Steven","Gerrard","Alaves",4,"Javi","Moreno","2001-05-16","BVB Stadion Dortmund","Javi","Moreno","Juan","Pablo"
1,"Chelsea",4,"Petr","Cech","Liverpool",4,"Fabio","Aurelio","2009-04-14","Stamford Bridge","Javier","Mascherano","Albert","Riera"
1,"Chelsea",4,"Salomon","Kalou","Liverpool",4,"Martin","Skrtel","2009-04-14","Stamford Bridge","Salomon","Kalou","Nicolas","Anelka"
8,"Manchester United",2,"Ryan","Giggs","Bayern",1,"Jens","Jeremies","1999-05-26","Camp Nou","Alexander","Zickler","Mehmet","Scholl"
2,"Liverpool",5,"Danny","Murphy","Alaves",4,"Delfi","Geli","2001-05-16","BVB Stadion Dortmund","Javi","Moreno","Juan","Pablo"
2,"Liverpool",5,"Gary","McAllister","Alaves",4,"Martin","Astudillo","2001-05-16","BVB Stadion Dortmund","Javi","Moreno","Juan","Pablo"
7,"Argentina",2,"Julio","Olartcoechea","England",1,"Terry","Butcher","1986-06-22","Estadio Azteca","Peter","Reid","Chris","Waddle"
6,"Milan",3,"","Kaka","Liverpool",3,"Djimi","Traore","2005-05-25","Ataturk Olimpiyat Stadyumu","Gennaro","Gattuso","Rui","Costa"
8,"Manchester United",2,"David","Beckham","Bayern",1,"Alexander","Zickler","1999-05-26","Camp Nou","Alexander","Zickler","Mehmet","Scholl"
3,"France",2,"Marcel","Desailly","Portugal",1,"Jorge","Costa","2000-06-28","King Baudouin Stadium","Rui","Costa","Joao","Pinto"
2,"Liverpool",5,"Sander","Westerveld","Alaves",4,"Javi","Moreno","2001-05-16","BVB Stadion Dortmund","Stephane","Henchoz","Vladimir","Smicer"
10,"Italy",4,"Giacinto","Facchetti","West Germany",3,"Wolfgang","Overath","1970-06-17","Estadio Azteca","Bernd","Patzke","Sigfried","Held"
6,"Milan",3,"","Cafu","Liverpool",3,"Sami","Hyypia","2005-05-25","Ataturk Olimpiyat Stadyumu","Clarence","Seedorf","","Serginho"
3,"France",2,"Emmanuel","Petit","Portugal",1,"Fernando","Couto","2000-06-28","King Baudouin Stadium","","Dimas","Rui","Jorge"
10,"Italy",4,"Mario","Bertini","West Germany",3,"Sepp","Maier","1970-06-17","Estadio Azteca","Hannes","Lohr","Reinhard","Libuda"
6,"Milan",3,"","Cafu","Liverpool",3,"Steven","Gerrard","2005-05-25","Ataturk Olimpiyat Stadyumu","Gennaro","Gattuso","Rui","Costa"
4,"Brazil",1,"","Felix","England",0,"Tommy","Wright","1970-06-07","Jalisco Stadium","Bobby","Charlton","Jeff","Astle"
1,"Chelsea",4,"Ricardo","Carvalho","Liverpool",4,"Dirk","Kuyt","2009-04-14","Stamford Bridge","Alvaro","Arbeola","Ryan","Babel"
1,"Chelsea",4,"Branislav","Ivanovic","Liverpool",4,"Jamie","Carragher","2009-04-14","Stamford Bridge","Alvaro","Arbeola","Ryan","Babel"
9,"Italy",3,"Dino","Baggio","Brazil",3,"Mauro","Silva","1997-06-08","Stade de Gerland","Christian","Vieri","Filippo","Inzaghi"
9,"Italy",3,"Dino","Baggio","Brazil",3,"Celio","Silva","1997-06-08","Stade de Gerland","Paolo","Maldini","Angelo","Di Livio"
6,"Milan",3,"Paolo","Maldini","Liverpool",3,"Jamie","Carragher","2005-05-25","Ataturk Olimpiyat Stadyumu","Hernan","Crespo","Jon","Dahl Tomasson"
4,"Brazil",1,"","Jairzinho","England",0,"Geoff","Hurst","1970-06-07","Jalisco Stadium","Francis","Henry Lee","Colin","Bell"
8,"Manchester United",2,"Jaap","Stam","Bayern",1,"Markus","Babbel","1999-05-26","Camp Nou","Andy","Cole","Ole","Gunnar Solskjaer"
3,"France",2,"Zinedine","Zidane","Portugal",1,"","Costinha","2000-06-28","King Baudouin Stadium","Rui","Costa","Joao","Pinto"
3,"France",2,"Nicolas","Anelka","Portugal",1,"Jose","Luis Vidigal","2000-06-28","King Baudouin Stadium","Rui","Costa","Joao","Pinto"
10,"Italy",4,"Angelo","Domenghini","West Germany",3,"Wolfgang","Overath","1970-06-17","Estadio Azteca","Hannes","Lohr","Reinhard","Libuda"
10,"Italy",4,"Angelo","Domenghini","West Germany",3,"Gerd","Muller","1970-06-17","Estadio Azteca","Bernd","Patzke","Sigfried","Held"
10,"Italy",4,"Angelo","Domenghini","West Germany",3,"Franz","Beckenbauer","1970-06-17","Estadio Azteca","Bernd","Patzke","Sigfried","Held"
4,"Brazil",1,"","Clodoaldo","England",0,"Brian","Labone","1970-06-07","Jalisco Stadium","","Tostao","Roberto","Lopes de Miranda"
6,"Milan",3,"Jaap","Stam","Liverpool",3,"Sami","Hyypia","2005-05-25","Ataturk Olimpiyat Stadyumu","Hernan","Crespo","Jon","Dahl Tomasson"
6,"Milan",3,"Hernan","Crespo","Liverpool",3,"Steven","Gerrard","2005-05-25","Ataturk Olimpiyat Stadyumu","Hernan","Crespo","Jon","Dahl Tomasson"
6,"Milan",3,"Clarence","Seedorf","Liverpool",3,"Steve","Finnan","2005-05-25","Ataturk Olimpiyat Stadyumu","Harry","Kewell","Vladimir","Smicer"
8,"Manchester United",2,"Dwight","Yorke","Bayern",1,"Lothar","Matthaus","1999-05-26","Camp Nou","Lothar","Matthaus","Thorsten","Fink"
7,"Argentina",2,"Nery","Pumpido","England",1,"Gary","M. Stevens","1986-06-22","Estadio Azteca","Jorge","Burruchaga","Carlos","Daniel Tapia"
4,"Brazil",1,"","Caju","England",0,"Alan","Ball Jr.","1970-06-07","Jalisco Stadium","Bobby","Charlton","Jeff","Astle"
4,"Brazil",1,"","Jairzinho","England",0,"Bobby","Charlton","1970-06-07","Jalisco Stadium","Francis","Henry Lee","Colin","Bell"
3,"France",2,"Emmanuel","Petit","Portugal",1,"Luis","Figo","2000-06-28","King Baudouin Stadium","Emmanuel","Petit","Robert","Pires"
9,"Italy",3,"Christian","Vieri","Brazil",3,"","Aldair","1997-06-08","Stade de Gerland","Mauro","Silva","Flavio","Conceicao"
9,"Italy",3,"Paolo","Maldini","Brazil",3,"","Aldair","1997-06-08","Stade de Gerland","Paolo","Maldini","Angelo","Di Livio"
8,"Manchester United",2,"Andy","Cole","Bayern",1,"Lothar","Matthaus","1999-05-26","Camp Nou","Jesper","Blomqvist","Teddy","Sheringham"
4,"Brazil",1,"","Everaldo","England",0,"Alan","Mullery","1970-06-07","Jalisco Stadium","","Tostao","Roberto","Lopes de Miranda"
8,"Manchester United",2,"Andy","Cole","Bayern",1,"Lothar","Matthaus","1999-05-26","Camp Nou","Mario","Basler","Hasan","Salihamidzic"
7,"Argentina",2,"Jorge","Burruchaga","England",1,"Gary","M. Stevens","1986-06-22","Estadio Azteca","Peter","Reid","Chris","Waddle"
8,"Manchester United",2,"Jesper","Blomqvist","Bayern",1,"Markus","Babbel","1999-05-26","Camp Nou","Alexander","Zickler","Mehmet","Scholl"
2,"Liverpool",5,"Markus","Babbel","Alaves",4,"Antonio","Karmona","2001-05-16","BVB Stadion Dortmund","Stephane","Henchoz","Vladimir","Smicer"
2,"Liverpool",5,"Sami","Hyypia","Alaves",4,"Antonio","Karmona","2001-05-16","BVB Stadion Dortmund","Martin","Astudillo","Mocellin","Magno"
3,"France",2,"Didier","Deschamps","Portugal",1,"Abel","Xavier","2000-06-28","King Baudouin Stadium","Thierry","Henry","David","Trezeguet"
8,"Manchester United",2,"Jaap","Stam","Bayern",1,"Jens","Jeremies","1999-05-26","Camp Nou","Alexander","Zickler","Mehmet","Scholl"
7,"Argentina",2,"Hector","Enrique","England",1,"Peter","Reid","1986-06-22","Estadio Azteca","Trevor","Steven","John","Barnes"
6,"Milan",3,"Alessandro","Nesta","Liverpool",3,"Djimi","Traore","2005-05-25","Ataturk Olimpiyat Stadyumu","Clarence","Seedorf","","Serginho"
9,"Italy",3,"Gianluca","Pagliuca","Brazil",3,"","Cafu","1997-06-08","Stade de Gerland","Dino","Baggio","Diego","Fuser"
1,"Chelsea",4,"Salomon","Kalou","Liverpool",4,"Fernando","Torres","2009-04-14","Stamford Bridge","Javier","Mascherano","Albert","Riera"
9,"Italy",3,"Alessandro","Costacurta","Brazil",3,"","Ronaldo","1997-06-08","Stade de Gerland","Dino","Baggio","Diego","Fuser"
1,"Chelsea",4,"Ashley","Cole","Liverpool",4,"Martin","Skrtel","2009-04-14","Stamford Bridge","Alvaro","Arbeola","Ryan","Babel"
8,"Manchester United",2,"Ryan","Giggs","Bayern",1,"Markus","Babbel","1999-05-26","Camp Nou","Mario","Basler","Hasan","Salihamidzic"
8,"Manchester United",2,"Ryan","Giggs","Bayern",1,"Thomas","Linke","1999-05-26","Camp Nou","Alexander","Zickler","Mehmet","Scholl"
8,"Manchester United",2,"Ronny","Johnsen","Bayern",1,"Jens","Jeremies","1999-05-26","Camp Nou","Mario","Basler","Hasan","Salihamidzic"
10,"Italy",4,"Gigi","Riva","West Germany",3,"Wolfgang","Overath","1970-06-17","Estadio Azteca","Roberto","Rosato","Fabrizio","Poletti"
3,"France",2,"Bixente","Lizarazu","Portugal",1,"Luis","Figo","2000-06-28","King Baudouin Stadium","Emmanuel","Petit","Robert","Pires"
1,"Chelsea",4,"Didier","Drogba","Liverpool",4,"Martin","Skrtel","2009-04-14","Stamford Bridge","Salomon","Kalou","Nicolas","Anelka"
6,"Milan",3,"Jaap","Stam","Liverpool",3,"Xabi","Alonso","2005-05-25","Ataturk Olimpiyat Stadyumu","Harry","Kewell","Vladimir","Smicer"
6,"Milan",3,"Paolo","Maldini","Liverpool",3,"Luis","Garcia","2005-05-25","Ataturk Olimpiyat Stadyumu","Harry","Kewell","Vladimir","Smicer"
