"matchid","first_team","first_team_goals","firstplayername","firstplayersurname","second_team","second_team_goals","secondplayername","secondplayersurname","date","stadium","outgoingplayername","outgoingplayersurname","incomingplayername","incomingplayersurname"
9,"Italy",3,"Gianluca","Pagliuca","Brazil",3,"Claudio","Taffarel","1997-06-08","Stade de Gerland","Dino","Baggio","Diego","Fuser"
6,"Milan",3,"Clarence","Seedorf","Liverpool",3,"Sami","Hyypia","2005-05-25","Ataturk Olimpiyat Stadyumu","Harry","Kewell","Vladimir","Smicer"
8,"Manchester United",2,"Jaap","Stam","Bayern",1,"Michael","Tarnat","1999-05-26","Camp Nou","Mario","Basler","Hasan","Salihamidzic"
1,"Chelsea",4,"Michael","Essien","Liverpool",4,"Alvaro","Arbeola","2009-04-14","Stamford Bridge","Alvaro","Arbeola","Ryan","Babel"
9,"Italy",3,"Demetrio","Albertini","Brazil",3,"Claudio","Taffarel","1997-06-08","Stade de Gerland","Mauro","Silva","Flavio","Conceicao"
3,"France",2,"Lilian","Thuram","Portugal",1,"","Costinha","2000-06-28","King Baudouin Stadium","Thierry","Henry","David","Trezeguet"
3,"France",2,"Didier","Deschamps","Portugal",1,"Sergio","Conceicao","2000-06-28","King Baudouin Stadium","Emmanuel","Petit","Robert","Pires"
1,"Chelsea",4,"Ricardo","Carvalho","Liverpool",4,"Yossi","Benayoun","2009-04-14","Stamford Bridge","Fernando","Torres","David","Ngog"
6,"Milan",3,"Gennaro","Gattuso","Liverpool",3,"Jamie","Carragher","2005-05-25","Ataturk Olimpiyat Stadyumu","Gennaro","Gattuso","Rui","Costa"
1,"Chelsea",4,"Michael","Essien","Liverpool",4,"Yossi","Benayoun","2009-04-14","Stamford Bridge","Alvaro","Arbeola","Ryan","Babel"
1,"Chelsea",4,"Petr","Cech","Liverpool",4,"Yossi","Benayoun","2009-04-14","Stamford Bridge","Salomon","Kalou","Nicolas","Anelka"
8,"Manchester United",2,"David","Beckham","Bayern",1,"Lothar","Matthaus","1999-05-26","Camp Nou","Mario","Basler","Hasan","Salihamidzic"
3,"France",2,"Didier","Deschamps","Portugal",1,"Abel","Xavier","2000-06-28","King Baudouin Stadium","Rui","Costa","Joao","Pinto"
5,"West Germany",3,"Fritz","Walter","Hungary",2,"Nandor","Hidegkuti","1954-07-04","Wankdorf Stadium",NULL,NULL,NULL,NULL
9,"Italy",3,"Demetrio","Albertini","Brazil",3,"Claudio","Taffarel","1997-06-08","Stade de Gerland","Christian","Vieri","Filippo","Inzaghi"
6,"Milan",3,"Andrea","Pirlo","Liverpool",3,"John","Arne Riise","2005-05-25","Ataturk Olimpiyat Stadyumu","Milan","Baros","Djibril","Cisse"
3,"France",2,"Laurent","Blanc","Portugal",1,"Rui","Costa","2000-06-28","King Baudouin Stadium","Rui","Costa","Joao","Pinto"
10,"Italy",4,"Sandro","Mazzola","West Germany",3,"Bernd","Patzke","1970-06-17","Estadio Azteca","Sandro","Mazzola","Gianni","Rivera"
2,"Liverpool",5,"Gary","McAllister","Alaves",4,"Hermes","Desio","2001-05-16","BVB Stadion Dortmund","Dan","Eggen","Ivan","Alonso"
8,"Manchester United",2,"Nicky","Butt","Bayern",1,"Lothar","Matthaus","1999-05-26","Camp Nou","Mario","Basler","Hasan","Salihamidzic"
